id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,neighborhood
33587710,Charming Pet-Friendly 2BR in Russian Hill,48005494,Zeus,,Russian Hill,37.79903,-122.41726000000001,Entire home/apt,167,30,0,,,102,243,Russian Hill
33587968,Beautiful Pet-Friendly 2BR in Russian Hill,48005494,Zeus,,Russian Hill,37.79817,-122.41767,Entire home/apt,170,30,3,2020-08-30,0.21,102,273,Russian Hill
33608260,Bull’s Eye SF: Market+Valencia| blocs2everywhere,221525713,StellaMaris,,South of Market,37.77167,-122.42204,Private room,58,2,32,2020-08-20,1.79,4,359,South of Market
33608274,CentralizedSF: Market+Valencia | Zen Room,221525713,StellaMaris,,South of Market,37.7718,-122.42206999999999,Private room,56,2,40,2020-09-12,2.24,4,267,South of Market
33634099,"Dandy Nob Hill 2BR w/ W/D, lounge, walk to restaurants by Blueground",107434423,Blueground,,Nob Hill,37.790079999999996,-122.41363,Entire home/apt,322,30,0,,,182,19,Nob Hill
33634536,"Sleek Lower Nob Hill Studio w/ Gym, W/D, A/C, walk to CPMC by Blueground",107434423,Blueground,,Downtown/Civic Center,37.78779,-122.42041,Entire home/apt,182,30,0,,,182,254,Downtown/Civic Center
33641010,Lovely 1BR Around the Corner from Fillmore St,48005494,Zeus,,Pacific Heights,37.79014,-122.43236999999999,Entire home/apt,161,30,0,,,102,0,Pacific Heights
33642479,"Beautiful, modern, safe home, 5 min from BART!",44037033,Pamela,,Excelsior,37.73,-122.42013,Entire home/apt,180,4,3,2019-11-22,0.22,1,0,Excelsior
33644460,Private entrance private room and private bathroom,216480693,Fa,,Outer Sunset,37.74941,-122.47792,Private room,69,1,93,2020-09-30,5.08,4,79,Outer Sunset
33667375,Peaceful Guest Suite in Central Castro With Easy Parking,44934464,Tara,,Castro/Upper Market,37.76153,-122.44206000000001,Private room,93,1,166,2020-10-03,9.14,1,36,Castro/Upper Market
33687369,Gorgeous & sunny ~ Prime location for work/play,241152029,Tim,,Western Addition,37.77235,-122.42771,Private room,130,2,12,2019-10-08,0.67,3,0,Western Addition
33692799,NobHill Hideaway- private backyard & courtyard,3286522,Tyler,,Nob Hill,37.788920000000005,-122.41893999999999,Entire home/apt,375,4,12,2020-02-29,0.7,2,0,Nob Hill
33704566,"Mid-Century Modern Condo, SoMa Near Moscone Center",2738239,Michia,,South of Market,37.77755,-122.40631,Entire home/apt,130,30,4,2020-08-08,0.29,1,187,South of Market
33713266,Peaceful City View Retreat!,2146719,Nikki,,Bayview,37.7187,-122.39225,Private room,43,30,18,2020-03-01,1.14,10,310,Bayview
33715114,Private Room and Bathroom on Ocean Beach,39532367,David,,Outer Sunset,37.75551,-122.50742,Private room,75,6,16,2019-08-16,0.98,1,0,Outer Sunset
33722743,NEWLY REMODELED LUXURY 4 BED 3.5 BATH IN SEA CLIFF,13832870,International,,Seacliff,37.7883,-122.48608,Entire home/apt,578,60,0,,,24,323,Seacliff
33745682,Cozy private bedroom in clean comfortable flat,105631670,Michael,,Parkside,37.74438,-122.47724,Private room,400,30,0,,,1,89,Parkside
33769639,"San Francisco, Union Square condo",34102518,Sandra,,Financial District,37.79013,-122.40665,Private room,350,1,0,,,2,0,Financial District
33773572,Entire private guest suite in beautiful Bernal.,7556101,James,,Bernal Heights,37.740790000000004,-122.41431000000001,Entire home/apt,115,2,74,2020-10-01,4.71,1,45,Bernal Heights
33777255,Upper Haight Abode,2538868,Benita,,Haight Ashbury,37.770379999999996,-122.44548999999999,Entire home/apt,110,30,2,2020-02-20,0.14,2,31,Haight Ashbury
33781225,A/C ⭐️ W/D ⭐️ Patio ⭐️ Outer Sunset Private Studio Apt.,133894957,Jessica,,Parkside,37.74454,-122.49181000000002,Entire home/apt,102,1,52,2020-08-30,2.88,5,174,Parkside
33781414,Inviting Beautiful Master Suite,237691,Regina,,Marina,37.7984,-122.43205,Private room,101,30,2,2019-11-02,0.15,3,179,Marina
33784880,SOMA private apartment,251857916,Aminah,,South of Market,37.7781,-122.41033,Entire home/apt,110,30,1,2019-08-16,0.07,2,363,South of Market
33818649,Luxury Condo in San Francisco. 2/2 w/office,32940115,Steven,,Bayview,37.7282,-122.36873999999999,Entire home/apt,198,90,0,,,1,180,Bayview
33830997,SF 1 Bedroom near Japantown,48005494,Zeus,,Western Addition,37.78445,-122.43538999999998,Entire home/apt,94,30,0,,,102,200,Western Addition
33859591,"Elegant "" Marina Home ""  1 min from Beach & Palace",1700823,Jennifer,,Marina,37.802690000000005,-122.44452,Entire home/apt,293,30,0,,,5,0,Marina
33873677,Cozy Urban Getaway,27376425,Natalie,,Marina,37.80252,-122.42665,Entire home/apt,300,30,10,2020-01-15,0.76,1,149,Marina
33881252,Private Room for Summer near USF,227730305,Emily,,Inner Richmond,37.775999999999996,-122.44905,Private room,50,40,0,,,2,359,Inner Richmond
33883208,The Manor on Monterey: 3300 sqft 3bd 2.5ba Retreat,253725609,Shaheen,,West of Twin Peaks,37.72938,-122.46085,Entire home/apt,425,2,8,2020-09-06,0.53,1,148,West of Twin Peaks
33900698,Charming Guest Suite in SF,2767171,Diane,,Bayview,37.74005,-122.3861,Entire home/apt,109,25,32,2020-02-29,2.13,1,2,Bayview
33907636,Charming Remodeled Downtown Studio,4430421,Landmark,,Downtown/Civic Center,37.7859,-122.41467,Entire home/apt,87,30,0,,,146,179,Downtown/Civic Center
33908655,Cole Valley Victorian. The Pink House.,53589133,Christian,,Haight Ashbury,37.7655,-122.4492,Entire home/apt,300,30,0,,,1,179,Haight Ashbury
33930957,"Sunlit SoMa 2BR w/ Gym, Roofdeck, walk to Tech HQs and BART, by Blueground",107434423,Blueground,,South of Market,37.77368,-122.40926,Entire home/apt,229,30,0,,,182,0,South of Market
33935404,1BR Condo ❤️ of Pac Heights ⭐️ W/D ⭐️ Walk Score 97 ⭐️,97159379,HostWell,,Pacific Heights,37.79295,-122.43502,Entire home/apt,151,30,1,2019-06-15,0.06,8,288,Pacific Heights
33941862,"Huge, tasteful Victorian flat. Sunny and central!",6573095,Sarah,,Castro/Upper Market,37.76859,-122.43245,Entire home/apt,225,30,0,,,1,0,Castro/Upper Market
33942157,Hotel Whitcomb | Market St | Standard One Queen,239782467,Hotel Whitcomb,,South of Market,37.77816,-122.41508999999999,Hotel room,122,1,365,2020-03-22,20.43,7,289,South of Market
33943537,Enhanced Clean Convenient & Comfy 2 bed. apartment,43118853,Hayk,,Ocean View,37.71113,-122.45931999999999,Entire home/apt,235,2,26,2020-09-06,1.56,2,338,Ocean View
33960503,Lower Pacific Heights Victorian Apartment (1 bd),2208838,Aimee,,Pacific Heights,37.789770000000004,-122.43845,Entire home/apt,95,30,0,,,1,66,Pacific Heights
33969322,Hotel Whitcomb | Market St | Standard Two Beds,239782467,Hotel Whitcomb,,Downtown/Civic Center,37.77908,-122.41433,Hotel room,131,1,281,2020-03-18,15.76,7,291,Downtown/Civic Center
33981784,"Sharp Mission Dolores 1BR w/ W/D, walk to Muni, BART, Park by Blueground",107434423,Blueground,,Mission,37.75837,-122.42161999999999,Entire home/apt,231,30,0,,,182,30,Mission
33985470,"Historic Lower Nob Hill 1BR w/ W/D, 1 min walk to SFMH, by Blueground",107434423,Blueground,,Downtown/Civic Center,37.78846,-122.41618999999999,Entire home/apt,139,30,0,,,182,363,Downtown/Civic Center
33985752,"Mod Mission Dolores 1BR w/ W/D, walk to Muni, BART, Park by Blueground",107434423,Blueground,,Mission,37.75719,-122.42218999999999,Entire home/apt,218,30,0,,,182,0,Mission
33991821,Hotel Whitcomb | Market St | Standard One King,239782467,Hotel Whitcomb,,South of Market,37.77706,-122.41469,Hotel room,130,1,67,2020-03-13,3.83,7,291,South of Market
33992126,Hotel Whitcomb | Market St | Superior One King,239782467,Hotel Whitcomb,,South of Market,37.7789,-122.41421000000001,Hotel room,140,1,42,2020-02-16,2.4,7,291,South of Market
33992162,Hotel Whitcomb | Market St | City View One King,239782467,Hotel Whitcomb,,South of Market,37.77697,-122.4155,Hotel room,196,1,5,2019-11-11,0.34,7,291,South of Market
33992583,Hotel Whitcomb| Market St |City Hall View Two Beds,239782467,Hotel Whitcomb,,South of Market,37.77758,-122.41548,Hotel room,158,1,10,2020-02-09,0.59,7,293,South of Market
33992760,Hotel Whitcomb | Market St | City View Two Beds,239782467,Hotel Whitcomb,,South of Market,37.7779,-122.41583999999999,Hotel room,154,1,16,2020-03-14,0.92,7,293,South of Market
33992962,Bright and sunny in a perfect location!,84966357,Andrea,,Marina,37.79705,-122.43805,Private room,80,30,3,2019-09-30,0.19,1,90,Marina
33993528,Victorian View Apartment at Noe + Mission Border,256666492,Bo,,Mission,37.75385,-122.42303000000001,Entire home/apt,135,30,0,,,1,365,Mission
